Sample_ID,subspp,locality,loc_num,habitat,mass,kidney_mass,kidmass_corr,medulla,plasma_osmo,urine_osmo,UPratio,TEWL,min_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,may-june_tmax,may-june_tmin,may-june_prec
PMB_1903,alaudinus,SFBNWR,4,Salt,16.9,0.116,0.006863905,13.71,337,405,1.2,6.368,608,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4
PMB_1904,alaudinus,SFBNWR,4,Salt,16.6,0.146,0.008795181,31.61,340,231,0.68,7.115,608,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4
PMB_1905,alaudinus,SFBNWR,4,Salt,16.9,0.132,0.007810651,26.28,NA,569,NA,6.711,608,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4
PMB_1906,alaudinus,SFBNWR,4,Salt,18,0.136,0.007555556,29.39,335,299,0.89,5.021,608,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4
PMB_1907,alaudinus,SFBNWR,4,Salt,15.6,0.126,0.008076923,16.83,345,782,2.27,8.539,608,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4
PMB_1908,alaudinus,MadRiver,5,Salt,17.5,0.14,0.008,18.95,343,554,1.62,6.009,166,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5
PMB_1909,alaudinus,MadRiver,5,Salt,18.1,0.13,0.00718232,11.31,322,263,0.82,7.445,166,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5
PMB_1910,alaudinus,MadRiver,5,Salt,16.4,0.122,0.007439024,11.28,332,NA,NA,8.036,166,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5
PMB_1911,alaudinus,MadRiver,5,Salt,17.9,0.116,0.006480447,12.63,374,NA,NA,7.159,166,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5
PMB_1912,alaudinus,MadRiver,5,Salt,17.4,0.136,0.007816092,17.13,307,654,2.13,7.47,166,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5
PMB_1913,brooksi,Upland,6,Fresh,17.4,0.11,0.006321839,8.65,310,300,0.97,3.614,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
PMB_1914,brooksi,Upland,6,Fresh,17,0.13,0.007647059,NA,309,350,1.13,8.468,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
PMB_1915,brooksi,Upland,6,Fresh,16.7,0.12,0.007185629,17.77,328.5,185,0.56,5.902,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
